id,type,sourceName,sourceVersion,unit,creationDate,startDate,endDate,value,device
1385,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:39:00-03:00,2020-09-18 01:39:59-03:00,86.0,
1386,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:40:00-03:00,2020-09-18 01:40:59-03:00,86.0,
1387,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:41:00-03:00,2020-09-18 01:41:59-03:00,81.0,
1388,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:42:00-03:00,2020-09-18 01:42:59-03:00,83.0,
1389,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:43:00-03:00,2020-09-18 01:43:59-03:00,90.0,
1390,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:44:00-03:00,2020-09-18 01:44:59-03:00,87.0,
1391,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:45:00-03:00,2020-09-18 01:45:59-03:00,78.0,
1392,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:46:00-03:00,2020-09-18 01:46:59-03:00,79.0,
1393,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:47:00-03:00,2020-09-18 01:47:59-03:00,92.0,
1394,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:48:00-03:00,2020-09-18 01:48:59-03:00,98.0,
1395,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:49:00-03:00,2020-09-18 01:49:59-03:00,95.0,
1396,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:50:00-03:00,2020-09-18 01:50:59-03:00,94.0,
1397,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:51:00-03:00,2020-09-18 01:51:59-03:00,82.0,
1398,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:52:00-03:00,2020-09-18 01:52:59-03:00,80.0,
1399,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:53:00-03:00,2020-09-18 01:53:59-03:00,78.0,
1400,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:54:00-03:00,2020-09-18 01:54:59-03:00,78.0,
1401,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:55:00-03:00,2020-09-18 01:55:59-03:00,77.0,
1402,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:56:00-03:00,2020-09-18 01:56:59-03:00,83.0,
1403,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:57:00-03:00,2020-09-18 01:57:59-03:00,79.0,
1404,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:58:00-03:00,2020-09-18 01:58:59-03:00,78.0,
1405,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:59:00-03:00,2020-09-18 01:59:59-03:00,79.0,
1406,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 02:00:00-03:00,2020-09-18 02:00:59-03:00,86.0,
1407,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 02:01:00-03:00,2020-09-18 02:01:59-03:00,80.0,
1408,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 02:02:00-03:00,2020-09-18 02:02:59-03:00,88.0,
1409,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 02:03:00-03:00,2020-09-18 02:03:59-03:00,86.0,
1410,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 02:04:00-03:00,2020-09-18 02:04:59-03:00,79.0,
1411,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 02:05:00-03:00,2020-09-18 02:05:59-03:00,108.0,
1412,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 02:06:00-03:00,2020-09-18 02:06:59-03:00,92.0,
1413,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 02:07:00-03:00,2020-09-18 02:07:59-03:00,94.0,
1414,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 02:08:00-03:00,2020-09-18 02:08:59-03:00,81.0,
1415,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 02:09:00-03:00,2020-09-18 02:09:59-03:00,91.0,
1416,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 02:10:00-03:00,2020-09-18 02:10:59-03:00,87.0,
1417,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 02:11:00-03:00,2020-09-18 02:11:59-03:00,85.0,
